PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,TRB,AST,FG%,TS%,USG%,NET_RATING,WIN_RATE,PEAK_AGE_DIST,GP_RATE,PREV_PPG,PREV_PPG_2,PPG_TREND,PREV_USG%,PREV_GP,REALE_NEXT_PPG,PREDIZIONE
A.J. Lawson,2023-24,23.0,198.12,7.4,3.2,42,27,1.2,0.5,0.446,0.519,0.18,1.2,0.643,4.0,0.5121951219512195,3.7,3.7,-0.5,0.189,15.0,9.1,5.2
AJ Green,2023-24,24.0,193.04,11.0,4.5,56,35,1.1,0.5,0.423,0.617,0.15,3.5,0.625,3.0,0.6829268292682927,4.4,4.4,0.09999999999999964,0.159,35.0,7.4,6.2
Aaron Gordon,2023-24,28.0,203.2,31.5,13.9,73,49,6.5,3.5,0.556,0.607,0.174,8.7,0.671,1.0,0.8902439024390244,16.3,15.0,-2.4000000000000004,0.206,68.0,14.7,13.6
Aaron Holiday,2023-24,27.0,182.88,16.3,6.6,78,39,1.6,1.8,0.446,0.578,0.158,2.9,0.5,0.0,0.9512195121951219,3.9,6.3,2.6999999999999997,0.129,63.0,5.5,6.6
Aaron Nesmith,2023-24,24.0,198.12,27.7,12.2,72,41,3.8,1.5,0.496,0.631,0.158,4.3,0.569,3.0,0.8780487804878049,10.1,3.8,2.0999999999999996,0.168,73.0,12.0,12.0
Aaron Wiggins,2023-24,25.0,195.58,15.7,6.9,78,55,2.4,1.1,0.562,0.664,0.163,5.7,0.705,2.0,0.9512195121951219,6.8,8.3,0.10000000000000053,0.143,70.0,12.0,8.4
Al Horford,2023-24,38.0,205.74,26.8,8.6,65,51,6.4,2.6,0.511,0.65,0.119,11.4,0.785,11.0,0.7926829268292683,9.8,10.2,-1.200000000000001,0.119,63.0,9.0,7.1
Alec Burks,2023-24,32.0,195.58,18.4,10.4,66,18,2.3,1.3,0.369,0.536,0.234,-10.7,0.273,5.0,0.8048780487804879,12.8,11.7,-2.4000000000000004,0.218,51.0,7.3,8.4
Alex Caruso,2023-24,30.0,195.58,28.7,10.1,71,34,3.8,3.5,0.468,0.613,0.146,0.3,0.479,3.0,0.8658536585365854,5.6,7.4,4.5,0.109,67.0,7.1,8.3
Alex Len,2023-24,31.0,213.36,9.3,2.5,48,24,2.7,1.0,0.617,0.625,0.114,15.4,0.5,4.0,0.5853658536585366,1.7,6.0,0.8,0.132,26.0,1.6,1.8
Alperen Sengun,2023-24,21.0,210.82,32.5,21.1,63,29,9.3,5.0,0.537,0.585,0.27,0.8,0.46,6.0,0.7682926829268293,14.8,9.6,6.300000000000001,0.211,75.0,19.1,21.2
Amen Thompson,2023-24,21.0,200.66,22.4,9.5,62,30,6.6,2.6,0.536,0.576,0.173,2.1,0.484,6.0,0.7560975609756098,9.5,9.5,0.0,0.173,62.0,14.1,11.4
Amir Coffey,2023-24,27.0,200.66,20.9,6.6,70,46,2.1,1.1,0.472,0.604,0.119,-3.4,0.657,0.0,0.8536585365853658,3.4,9.0,3.1999999999999997,0.128,50.0,9.7,6.5
Andre Drummond,2023-24,30.0,210.82,17.1,8.4,79,37,9.0,0.5,0.556,0.576,0.201,0.8,0.468,3.0,0.9634146341463414,6.0,7.9,2.4000000000000004,0.196,67.0,7.3,7.6
Andre Jackson Jr.,2023-24,22.0,198.12,10.0,2.2,57,33,2.0,0.9,0.5,0.596,0.097,-7.3,0.579,5.0,0.6951219512195121,2.2,2.2,0.0,0.097,57.0,3.4,4.8
Andrew Nembhard,2023-24,24.0,193.04,25.0,9.2,68,41,2.1,4.1,0.498,0.573,0.161,2.2,0.603,3.0,0.8292682926829268,9.5,9.5,-0.3000000000000007,0.159,75.0,10.0,10.3
Andrew Wiggins,2023-24,29.0,200.66,27.0,13.2,71,38,4.5,1.7,0.453,0.544,0.206,-1.3,0.535,2.0,0.8658536585365854,17.1,17.2,-3.900000000000002,0.212,37.0,18.0,12.3
Anfernee Simons,2023-24,25.0,190.5,34.4,22.6,46,11,3.6,5.5,0.43,0.568,0.276,-10.6,0.239,2.0,0.5609756097560976,21.1,17.3,1.5,0.247,62.0,19.3,20.6
Anthony Black,2023-24,20.0,200.66,16.9,4.6,69,39,2.0,1.3,0.466,0.56,0.123,-1.0,0.565,7.0,0.8414634146341463,4.6,4.6,0.0,0.123,69.0,9.4,7.5
Anthony Davis,2023-24,31.0,208.28,35.5,24.7,76,45,12.6,3.5,0.556,0.621,0.261,2.6,0.592,4.0,0.926829268292683,25.9,23.2,-1.1999999999999993,0.277,56.0,24.7,23.2
Anthony Edwards,2023-24,22.0,193.04,35.1,25.9,79,54,5.4,5.1,0.461,0.575,0.314,7.3,0.684,5.0,0.9634146341463414,24.6,21.3,1.2999999999999972,0.292,79.0,27.6,26.9
Anthony Gill,2023-24,31.0,203.2,9.3,3.8,50,9,1.9,0.7,0.469,0.537,0.177,1.2,0.18,4.0,0.6097560975609756,3.3,4.1,0.5,0.116,59.0,2.5,2.2
Ausar Thompson,2023-24,21.0,198.12,25.1,8.8,63,10,6.4,1.9,0.483,0.522,0.161,-5.3,0.159,6.0,0.7682926829268293,8.8,8.8,0.0,0.161,63.0,10.1,9.4
Austin Reaves,2023-24,26.0,195.58,32.1,15.9,82,47,4.3,5.5,0.486,0.613,0.198,-1.0,0.573,1.0,1.0,13.0,7.3,2.9000000000000004,0.154,64.0,20.2,15.1
Ayo Dosunmu,2023-24,24.0,195.58,29.1,12.2,76,37,2.8,3.2,0.501,0.604,0.168,-3.3,0.487,3.0,0.926829268292683,8.6,8.8,3.5999999999999996,0.145,80.0,12.3,11.9
Bam Adebayo,2023-24,26.0,205.74,34.0,19.3,71,40,10.4,3.9,0.521,0.576,0.247,0.8,0.563,1.0,0.8658536585365854,20.4,19.1,-1.0999999999999979,0.251,75.0,18.1,19.1
Ben Sheppard,2023-24,22.0,198.12,14.3,4.4,57,32,1.6,0.9,0.393,0.524,0.125,4.7,0.561,5.0,0.6951219512195121,4.4,4.4,0.0,0.125,57.0,5.3,6.7
Ben Simmons,2023-24,27.0,208.28,23.9,6.1,15,7,7.9,5.7,0.581,0.571,0.126,-3.4,0.467,0.0,0.18292682926829268,6.9,14.3,-0.8000000000000007,0.142,42.0,5.0,6.1
Bennedict Mathurin,2023-24,22.0,195.58,26.1,14.5,59,33,4.0,2.0,0.446,0.562,0.226,-2.9,0.559,5.0,0.7195121951219512,16.7,16.7,-2.1999999999999993,0.235,78.0,16.1,16.0
Bilal Coulibaly,2023-24,19.0,203.2,27.2,8.4,63,11,4.1,1.7,0.435,0.543,0.139,-11.0,0.175,8.0,0.7682926829268293,8.4,8.4,0.0,0.139,63.0,12.3,9.4
Bismack Biyombo,2023-24,31.0,203.2,19.8,4.4,40,20,5.2,1.3,0.565,0.562,0.106,-3.8,0.5,4.0,0.4878048780487805,4.3,5.8,0.10000000000000053,0.136,61.0,5.1,3.2
Blake Wesley,2023-24,21.0,190.5,14.4,4.4,61,19,1.5,2.7,0.474,0.537,0.144,-7.8,0.311,6.0,0.7439024390243902,5.0,5.0,-0.5999999999999996,0.18,37.0,3.7,6.1
Bobby Portis,2023-24,29.0,208.28,24.5,13.8,82,49,7.4,1.3,0.508,0.581,0.224,-0.1,0.598,2.0,1.0,14.1,14.6,-0.29999999999999893,0.211,70.0,13.9,13.3
Bogdan Bogdanović,2023-24,31.0,195.58,30.4,16.9,79,35,3.4,3.1,0.428,0.569,0.218,1.9,0.443,4.0,0.9634146341463414,14.0,15.1,2.8999999999999986,0.196,54.0,10.8,14.5
Bol Bol,2023-24,24.0,220.98,10.9,5.2,43,28,3.2,0.4,0.616,0.7,0.156,0.1,0.651,3.0,0.524390243902439,9.1,2.4,-3.8999999999999995,0.177,70.0,6.8,6.7
Bones Hyland,2023-24,23.0,187.96,14.6,6.9,37,20,1.5,2.5,0.386,0.49,0.241,-6.0,0.541,4.0,0.45121951219512196,11.8,10.1,-4.9,0.271,56.0,6.2,8.9
Bradley Beal,2023-24,31.0,193.04,33.3,18.2,53,33,4.4,5.0,0.513,0.607,0.224,3.0,0.623,4.0,0.6463414634146342,23.2,23.2,-5.0,0.288,50.0,17.0,17.0
Brandin Podziemski,2023-24,21.0,193.04,26.6,9.2,74,41,5.8,3.7,0.454,0.54,0.149,5.9,0.554,6.0,0.9024390243902439,9.2,9.2,0.0,0.149,74.0,11.7,11.6
Brandon Boston,2023-24,22.0,198.12,10.8,5.2,32,17,1.6,0.4,0.404,0.476,0.24,-15.7,0.531,5.0,0.3902439024390244,6.5,6.7,-1.2999999999999998,0.237,22.0,10.7,6.7
Brandon Ingram,2023-24,26.0,203.2,32.9,20.8,64,38,5.1,5.7,0.492,0.578,0.269,4.0,0.594,1.0,0.7804878048780488,24.7,22.7,-3.8999999999999986,0.306,45.0,22.2,20.6
Brandon Miller,2023-24,21.0,200.66,32.2,17.3,74,18,4.3,2.4,0.44,0.552,0.235,-10.2,0.243,6.0,0.9024390243902439,17.3,17.3,0.0,0.235,74.0,21.0,17.3
Brice Sensabaugh,2023-24,20.0,195.58,18.3,7.5,32,8,3.2,1.7,0.39,0.511,0.201,-14.2,0.25,7.0,0.3902439024390244,7.5,7.5,0.0,0.201,32.0,10.9,8.7
Brook Lopez,2023-24,36.0,215.9,30.5,12.5,79,48,5.2,1.6,0.485,0.608,0.156,5.2,0.608,9.0,0.9634146341463414,15.9,12.4,-3.4000000000000004,0.187,78.0,13.0,10.3
Bruce Brown,2023-24,27.0,193.04,27.8,10.8,67,26,4.2,2.9,0.478,0.563,0.161,-5.8,0.388,0.0,0.8170731707317073,11.5,9.0,-0.6999999999999993,0.174,80.0,8.3,9.7
Bruno Fernando,2023-24,25.0,205.74,15.2,6.3,45,20,4.3,1.0,0.583,0.615,0.172,-6.4,0.444,2.0,0.5487804878048781,3.9,2.9,2.4,0.159,39.0,3.4,5.9
Bryce McGowens,2023-24,21.0,198.12,14.9,5.1,59,11,1.7,0.9,0.439,0.565,0.147,-13.0,0.186,6.0,0.7195121951219512,5.3,5.3,-0.20000000000000018,0.147,46.0,1.0,6.1
Buddy Hield,2023-24,31.0,193.04,25.7,12.1,84,46,3.2,2.8,0.436,0.578,0.186,1.1,0.548,4.0,1.024390243902439,16.8,15.6,-4.700000000000001,0.205,80.0,11.1,11.7
CJ McCollum,2023-24,32.0,190.5,32.7,20.0,66,42,4.3,4.6,0.459,0.592,0.244,3.7,0.636,5.0,0.8048780487804879,20.9,22.1,-0.8999999999999986,0.26,75.0,21.1,18.6
Cade Cunningham,2023-24,22.0,198.12,33.5,22.7,62,9,4.3,7.5,0.449,0.546,0.298,-7.9,0.145,5.0,0.7560975609756098,19.9,17.4,2.8000000000000007,0.287,12.0,26.1,21.4
Caleb Houstan,2023-24,21.0,203.2,13.8,4.3,59,31,1.4,0.5,0.388,0.582,0.122,-1.8,0.525,6.0,0.7195121951219512,3.8,3.8,0.5,0.107,51.0,4.1,6.7
Caleb Martin,2023-24,28.0,195.58,27.4,10.0,64,36,4.4,2.2,0.431,0.531,0.168,1.9,0.563,1.0,0.7804878048780488,9.6,9.2,0.40000000000000036,0.143,71.0,7.9,9.3
Cam Reddish,2023-24,24.0,200.66,20.5,5.4,48,27,2.1,1.0,0.389,0.504,0.123,-2.8,0.563,3.0,0.5853658536585366,9.7,10.1,-4.299999999999999,0.166,40.0,3.2,6.7
Cam Thomas,2023-24,22.0,190.5,31.4,22.5,66,23,3.2,2.9,0.442,0.554,0.296,-5.2,0.348,5.0,0.8048780487804879,10.6,8.5,11.9,0.268,57.0,24.0,20.5
Cam Whitmore,2023-24,19.0,200.66,18.7,12.3,47,19,3.8,0.7,0.454,0.561,0.255,-1.0,0.404,8.0,0.573170731707317,12.3,12.3,0.0,0.255,47.0,9.4,14.2
Cameron Johnson,2023-24,28.0,203.2,27.6,13.4,58,21,4.3,2.4,0.446,0.582,0.19,-3.4,0.362,1.0,0.7073170731707317,15.5,12.5,-2.0999999999999996,0.202,42.0,18.8,11.7
Cameron Payne,2023-24,29.0,190.5,16.7,7.4,78,46,1.5,2.6,0.432,0.566,0.185,-0.8,0.59,2.0,0.9512195121951219,10.3,10.8,-2.9000000000000004,0.239,48.0,6.9,7.7
Caris LeVert,2023-24,29.0,198.12,28.8,14.0,68,38,4.1,5.1,0.421,0.524,0.224,2.8,0.559,2.0,0.8292682926829268,12.1,17.0,1.9000000000000004,0.183,74.0,12.1,13.3
Cason Wallace,2023-24,20.0,190.5,20.6,6.8,82,57,2.3,1.5,0.491,0.612,0.127,3.9,0.695,7.0,1.0,6.8,6.8,0.0,0.127,82.0,8.4,10.1
Charles Bassey,2023-24,23.0,208.28,10.8,3.3,19,3,4.0,1.1,0.725,0.739,0.11,-11.6,0.158,4.0,0.23170731707317074,5.7,3.0,-2.4000000000000004,0.152,35.0,4.4,3.4
Chet Holmgren,2023-24,22.0,215.9,29.4,16.5,82,57,7.9,2.4,0.53,0.632,0.21,9.0,0.695,5.0,1.0,16.5,16.5,0.0,0.21,82.0,15.0,18.4
Chris Boucher,2023-24,31.0,205.74,14.1,6.4,50,16,4.1,0.5,0.507,0.625,0.167,2.4,0.32,4.0,0.6097560975609756,9.4,9.4,-3.0,0.175,76.0,10.0,5.5
Chris Duarte,2023-24,27.0,195.58,12.2,3.9,59,35,1.8,0.7,0.381,0.512,0.146,-3.1,0.593,0.0,0.7195121951219512,7.9,13.1,-4.0,0.181,46.0,2.1,5.3
Chris Paul,2023-24,39.0,182.88,26.4,9.2,58,33,3.9,6.8,0.441,0.544,0.154,2.8,0.569,12.0,0.7073170731707317,13.9,14.7,-4.700000000000001,0.195,59.0,8.8,7.7
Christian Braun,2023-24,23.0,198.12,20.2,7.3,82,57,3.7,1.6,0.46,0.554,0.152,0.7,0.695,4.0,1.0,4.7,4.7,2.5999999999999996,0.127,76.0,15.4,9.2
Chuma Okeke,2023-24,25.0,200.66,9.2,2.3,47,24,1.7,0.4,0.357,0.465,0.131,-7.3,0.511,2.0,0.573170731707317,4.7,8.6,-2.4000000000000004,0.121,27.0,5.9,4.0
Clint Capela,2023-24,30.0,208.28,25.8,11.5,73,33,10.6,1.2,0.571,0.59,0.167,-0.1,0.452,3.0,0.8902439024390244,12.0,11.1,-0.5,0.151,65.0,8.9,10.3
Coby White,2023-24,24.0,195.58,36.5,19.1,79,37,4.5,5.1,0.447,0.57,0.224,-0.7,0.468,3.0,0.9634146341463414,9.7,12.7,9.400000000000002,0.17,74.0,20.4,17.8
Cody Martin,2023-24,28.0,198.12,26.9,7.5,28,7,3.9,3.7,0.381,0.46,0.157,-10.5,0.25,1.0,0.34146341463414637,5.0,7.7,2.5,0.121,7.0,6.8,5.2
Colby Jones,2023-24,22.0,198.12,6.4,2.1,30,15,1.3,0.7,0.394,0.422,0.178,1.5,0.5,5.0,0.36585365853658536,2.1,2.1,0.0,0.178,30.0,4.0,4.2
Cole Anthony,2023-24,24.0,187.96,22.4,11.6,81,47,3.8,2.9,0.435,0.545,0.232,2.6,0.58,3.0,0.9878048780487805,13.0,16.3,-1.4000000000000004,0.209,60.0,9.4,13.2
Collin Gillespie,2023-24,25.0,185.42000000000002,9.4,3.6,24,15,0.9,1.1,0.464,0.586,0.166,2.5,0.625,2.0,0.2926829268292683,3.6,3.6,0.0,0.166,24.0,5.9,4.6
Collin Sexton,2023-24,25.0,190.5,26.6,18.7,78,29,2.6,4.9,0.487,0.607,0.267,-3.4,0.372,2.0,0.9512195121951219,14.3,16.0,4.399999999999999,0.23,48.0,18.4,17.7
Corey Kispert,2023-24,25.0,198.12,25.8,13.4,80,15,2.8,2.0,0.486,0.62,0.191,-10.7,0.188,2.0,0.975609756097561,11.1,8.2,2.3000000000000007,0.139,74.0,11.6,11.7
Cory Joseph,2023-24,32.0,187.96,11.4,2.4,26,10,1.2,1.6,0.359,0.47,0.108,-3.0,0.385,5.0,0.3170731707317073,6.9,8.0,-4.5,0.149,62.0,3.5,2.2
Craig Porter Jr.,2023-24,24.0,185.42000000000002,12.7,5.6,51,30,2.1,2.3,0.509,0.564,0.201,-1.6,0.588,3.0,0.6219512195121951,5.6,5.6,0.0,0.201,51.0,3.7,7.0
D'Angelo Russell,2023-24,28.0,190.5,32.7,18.0,76,46,3.1,6.3,0.456,0.588,0.222,2.6,0.605,1.0,0.926829268292683,17.8,18.1,0.1999999999999993,0.225,71.0,12.6,17.4
Dalano Banton,2023-24,24.0,203.2,19.4,10.3,54,24,3.3,2.4,0.404,0.504,0.25,-10.2,0.444,3.0,0.6585365853658537,4.6,3.2,5.700000000000001,0.229,31.0,8.3,9.6
Dalen Terry,2023-24,21.0,200.66,11.5,3.1,59,27,1.9,1.4,0.439,0.512,0.127,2.2,0.458,6.0,0.7195121951219512,2.2,2.2,0.8999999999999999,0.173,38.0,4.5,5.4
Damian Lillard,2023-24,33.0,187.96,35.3,24.3,73,48,4.4,7.0,0.424,0.59,0.274,6.9,0.658,6.0,0.8902439024390244,32.2,24.0,-7.900000000000002,0.331,58.0,24.9,23.3
Daniel Gafford,2023-24,25.0,208.28,24.5,11.0,74,30,7.6,1.6,0.725,0.731,0.145,-2.2,0.405,2.0,0.9024390243902439,9.0,9.4,2.0,0.146,78.0,12.3,10.4
Daniel Theis,2023-24,32.0,203.2,16.9,6.3,60,38,4.1,1.0,0.532,0.597,0.15,2.4,0.633,5.0,0.7317073170731707,7.0,8.2,-0.7000000000000002,0.201,7.0,4.3,5.3
Dante Exum,2023-24,28.0,195.58,19.8,7.8,55,36,2.7,2.9,0.533,0.645,0.148,10.3,0.655,1.0,0.6707317073170732,3.8,4.5,4.0,0.119,6.0,8.7,7.0
Dario Saric,2023-24,30.0,208.28,17.2,8.0,64,35,4.4,2.3,0.466,0.6,0.19,-1.6,0.547,3.0,0.7804878048780488,6.4,8.7,1.5999999999999996,0.186,57.0,3.5,7.4
Darius Garland,2023-24,24.0,185.42000000000002,33.3,18.0,57,31,2.7,6.5,0.446,0.56,0.249,2.1,0.544,3.0,0.6951219512195121,21.6,21.7,-3.6000000000000014,0.262,69.0,20.6,18.7
David Roddy,2023-24,23.0,193.04,18.1,6.5,65,25,3.2,1.2,0.403,0.484,0.177,-9.3,0.385,4.0,0.7926829268292683,6.7,6.7,-0.20000000000000018,0.163,70.0,4.6,7.6
Davion Mitchell,2023-24,25.0,182.88,15.3,5.3,72,41,1.3,1.9,0.452,0.555,0.147,-2.6,0.569,2.0,0.8780487804878049,5.6,11.5,-0.2999999999999998,0.14,80.0,7.9,7.1
Day'Ron Sharpe,2023-24,22.0,205.74,15.1,6.8,61,25,6.4,1.4,0.571,0.596,0.185,4.8,0.41,5.0,0.7439024390243902,4.7,6.2,2.0999999999999996,0.173,48.0,7.9,8.2
De'Aaron Fox,2023-24,26.0,190.5,35.9,26.6,74,42,4.6,5.6,0.465,0.567,0.3,4.3,0.568,1.0,0.9024390243902439,25.0,23.2,1.6000000000000014,0.288,73.0,23.5,25.6
De'Andre Hunter,2023-24,26.0,203.2,29.5,15.6,57,26,3.9,1.5,0.459,0.595,0.204,-1.3,0.456,1.0,0.6951219512195121,15.4,13.4,0.1999999999999993,0.193,67.0,17.0,14.3
De'Anthony Melton,2023-24,26.0,190.5,26.9,11.1,38,25,3.7,3.0,0.386,0.533,0.177,10.0,0.658,1.0,0.4634146341463415,10.1,10.8,1.0,0.162,77.0,10.3,11.3
DeAndre Jordan,2023-24,35.0,210.82,11.0,3.9,36,24,4.4,0.7,0.624,0.61,0.147,-10.7,0.667,8.0,0.43902439024390244,5.1,4.3,-1.1999999999999997,0.134,39.0,3.7,2.5
DeMar DeRozan,2023-24,34.0,198.12,37.8,24.0,79,37,4.3,5.3,0.48,0.584,0.252,-1.0,0.468,7.0,0.9634146341463414,24.5,27.9,-0.5,0.272,74.0,22.2,21.2
Dean Wade,2023-24,27.0,205.74,20.5,5.4,54,36,4.0,0.8,0.414,0.598,0.101,8.3,0.667,0.0,0.6585365853658537,4.7,5.3,0.7000000000000002,0.1,44.0,5.4,5.6
Deandre Ayton,2023-24,25.0,213.36,32.4,16.7,55,14,11.1,1.6,0.57,0.587,0.211,-8.7,0.255,2.0,0.6707317073170732,18.0,17.2,-1.3000000000000007,0.231,67.0,14.4,15.4
Dejounte Murray,2023-24,27.0,195.58,35.7,22.5,78,34,5.3,6.4,0.459,0.555,0.259,-2.7,0.436,0.0,0.9512195121951219,20.5,21.1,2.0,0.239,74.0,17.5,21.1
Delon Wright,2023-24,32.0,195.58,15.8,4.5,47,16,1.8,2.5,0.394,0.505,0.127,1.0,0.34,5.0,0.573170731707317,7.4,4.4,-2.9000000000000004,0.125,50.0,3.1,3.4
Deni Avdija,2023-24,23.0,205.74,30.1,14.7,75,14,7.2,3.8,0.506,0.597,0.196,-6.5,0.187,4.0,0.9146341463414634,9.2,8.4,5.5,0.165,76.0,16.9,13.7
Dennis Schröder,2023-24,30.0,185.42000000000002,31.1,14.0,80,30,3.0,6.1,0.435,0.55,0.202,-2.8,0.375,3.0,0.975609756097561,12.6,13.5,1.4000000000000004,0.183,66.0,13.1,12.2
