PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,_season
2343,Joe Crispin,1610612756,PHX,22.0,6-0,72.0,185,Penn State,USA,Undrafted,Undrafted,Undrafted,21,3.8,0.5,1.2,-4.2,0.012,0.058,0.233,0.536,0.277,2001-02
2207,Joe Johnson,1610612756,PHX,21.0,6-7,79.0,225,Arkansas,USA,2001,1,10,77,7.5,3.3,2.3,-0.2,0.038,0.094,0.16,0.478,0.151,2001-02
693,Joe Smith,1610612750,MIN,26.0,6-10,82.0,225,Maryland,USA,1995,1,1,72,10.7,6.3,1.1,9.5,0.084,0.156,0.176,0.571,0.063,2001-02
2038,Joel Przybilla,1610612749,MIL,22.0,7-1,85.0,255,Minnesota,USA,2000,1,9,71,2.7,4.0,0.3,-1.5,0.072,0.174,0.091,0.523,0.026,2001-02
680,John Amaechi,1610612762,UTA,31.0,6-10,82.0,270,Penn State,United Kingdom,Undrafted,Undrafted,Undrafted,54,3.2,2.0,0.5,-11.5,0.089,0.106,0.2,0.412,0.091,2001-02
180,John Crotty,1610612762,UTA,32.0,,, ,Virginia,USA,Undrafted,Undrafted,Undrafted,41,6.9,1.8,3.4,2.6,0.021,0.074,0.158,0.599,0.313,2001-02
317,John Starks,1610612762,UTA,36.0,6-5,77.0,190,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,66,4.4,1.0,1.1,-1.2,0.016,0.061,0.179,0.442,0.132,2001-02
304,John Stockton,1610612762,UTA,40.0,6-1,73.0,175,Gonzaga,USA,1984,1,16,82,13.4,3.2,8.2,3.6,0.025,0.088,0.189,0.601,0.442,2001-02
961,John Wallace,1610612756,PHX,28.0,6-9,81.0,225,Syracuse,USA,1996,1,18,46,5.0,1.8,0.6,-6.6,0.056,0.122,0.233,0.493,0.099,2001-02
271,Johnny Newman,1610612742,DAL,38.0,6-7,79.0,210,Richmond,USA,1986,2,29,47,4.2,1.0,0.3,0.7,0.013,0.053,0.119,0.571,0.028,2001-02
468,Jon Barry,1610612765,DET,32.0,6-5,77.0,210,Georgia Tech,USA,1992,1,21,82,9.0,2.9,3.3,3.8,0.023,0.099,0.157,0.644,0.233,2001-02
1886,Jonathan Bender,1610612754,IND,21.0,7-0,84.0,219,None,USA,1999,1,5,78,7.4,3.1,0.8,-1.2,0.04,0.105,0.175,0.538,0.064,2001-02
2218,Joseph Forte,1610612738,BOS,21.0,6-4,76.0,194,North Carolina,USA,2001,1,21,8,0.8,0.8,0.8,-19.0,0.023,0.132,0.189,0.218,0.273,2001-02
146,Jud Buechler,1610612753,ORL,34.0,6-6,78.0,228,Arizona,USA,1990,2,38,66,1.7,1.8,0.5,-7.8,0.041,0.132,0.085,0.463,0.069,2001-02
1908,Jumaine Jones,1610612739,CLE,23.0,6-8,80.0,218,Georgia,USA,1999,1,27,81,8.3,6.0,1.4,-2.3,0.061,0.176,0.16,0.501,0.085,2001-02
436,Juwan Howard,1610612743,DEN,29.0,6-9,81.0,250,Michigan,USA,1994,1,5,81,14.6,7.6,2.1,-2.1,0.085,0.151,0.223,0.513,0.109,2001-02
252,Karl Malone,1610612762,UTA,38.0,6-9,81.0,256,Louisiana Tech,USA,1985,1,13,80,22.4,8.6,4.3,0.7,0.05,0.193,0.285,0.532,0.216,2001-02
2208,Kedrick Brown,1610612738,BOS,21.0,6-7,79.0,222,Northwest Florida State,USA,2001,1,11,29,2.2,1.7,0.5,0.5,0.042,0.152,0.155,0.4,0.102,2001-02
1496,Keith Van Horn,1610612751,NJN,26.0,6-10,82.0,255,Utah,USA,1997,1,2,81,14.8,7.5,2.0,4.7,0.055,0.188,0.235,0.51,0.11,2001-02
1509,Kelvin Cato,1610612745,HOU,27.0,6-11,83.0,255,Iowa State,USA,1997,1,15,75,6.6,7.0,0.4,-3.9,0.094,0.189,0.112,0.599,0.024,2001-02
383,Kendall Gill,1610612748,MIA,34.0,6-5,77.0,215,Illinois,USA,1990,1,5,65,5.7,2.8,1.5,-2.7,0.022,0.111,0.169,0.414,0.118,2001-02
72,Kenny Anderson,1610612738,BOS,31.0,6-1,73.0,168,Georgia Tech,USA,1991,1,2,76,9.6,3.6,5.3,5.4,0.023,0.089,0.164,0.472,0.267,2001-02
2261,Kenny Satterfield,1610612743,DEN,21.0,6-1,73.0,176,Cincinnati,USA,2001,2,53,36,5.3,1.4,3.0,-4.8,0.029,0.07,0.214,0.431,0.335,2001-02
1903,Kenny Thomas,1610612745,HOU,24.0,6-7,79.0,245,New Mexico,USA,1999,1,22,72,14.1,7.2,1.9,-6.0,0.065,0.151,0.21,0.52,0.101,2001-02
2030,Kenyon Martin,1610612751,NJN,24.0,6-9,81.0,234,Cincinnati,USA,2000,1,1,73,14.9,5.3,2.6,6.4,0.045,0.107,0.22,0.503,0.123,2001-02
1721,Keon Clark,1610612761,TOR,27.0,6-11,83.0,221,UNLV,USA,1998,1,13,81,11.3,7.4,1.1,-0.8,0.084,0.202,0.211,0.522,0.071,2001-02
954,Kerry Kittles,1610612751,NJN,28.0,6-5,77.0,180,Villanova,USA,1996,1,8,82,13.4,3.4,2.6,4.3,0.026,0.078,0.189,0.542,0.131,2001-02
708,Kevin Garnett,1610612750,MIN,26.0,6-11,83.0,220,None,USA,1995,1,5,81,21.2,12.1,5.2,5.5,0.079,0.234,0.258,0.536,0.22,2001-02
1563,Kevin Ollie,1610612754,IND,29.0,6-2,74.0,195,Connecticut,USA,Undrafted,Undrafted,Undrafted,81,5.7,2.3,3.6,-4.7,0.015,0.094,0.148,0.51,0.293,2001-02
788,Kevin Willis,1610612745,HOU,39.0,7-0,84.0,245,Michigan State,USA,1984,1,11,52,6.1,5.8,0.3,-6.7,0.115,0.234,0.19,0.489,0.031,2001-02
2039,Keyon Dooling,1610612746,LAC,22.0,6-3,75.0,196,Missouri,USA,2000,1,10,14,4.1,0.2,0.9,12.5,0.0,0.016,0.196,0.466,0.119,2001-02
2213,Kirk Haston,1610612766,CHH,23.0,6-9,81.0,242,Indiana,USA,2001,1,16,15,1.7,1.3,0.3,-8.9,0.06,0.17,0.241,0.306,0.114,2001-02
977,Kobe Bryant,1610612747,LAL,23.0,6-7,79.0,210,None,USA,1996,1,13,80,25.2,5.5,5.5,7.4,0.036,0.103,0.299,0.544,0.254,2001-02
703,Kurt Thomas,1610612752,NYK,29.0,6-9,81.0,235,TCU,USA,1995,1,10,82,13.9,9.1,1.1,-4.7,0.078,0.197,0.2,0.542,0.057,2001-02
2198,Kwame Brown,1610612764,WAS,20.0,6-11,83.0,243,None,USA,2001,1,1,57,4.5,3.5,0.8,-4.9,0.077,0.172,0.18,0.45,0.09,2001-02
111,LaPhonso Ellis,1610612748,MIA,32.0,6-8,80.0,240,Notre Dame,USA,1992,1,5,66,7.1,4.3,0.8,-5.4,0.065,0.11,0.157,0.48,0.059,2001-02
1885,Lamar Odom,1610612746,LAC,22.0,6-10,82.0,221,Rhode Island,USA,1999,1,4,29,13.1,6.1,5.9,-0.4,0.031,0.131,0.224,0.473,0.294,2001-02
441,Lamond Murray,1610612739,CLE,29.0,6-7,79.0,236,California,USA,1994,1,7,71,16.6,5.2,2.2,-2.8,0.036,0.129,0.244,0.534,0.119,2001-02
1716,Larry Hughes,1610612744,GSW,23.0,6-5,77.0,184,St. Louis,USA,1998,1,8,73,12.3,3.4,4.3,-5.2,0.036,0.077,0.217,0.484,0.251,2001-02
1683,Larry Robinson,1610612752,NYK,34.0,6-3,75.0,180,Centenary-Louisiana,USA,Undrafted,Undrafted,Undrafted,2,1.5,1.0,0.0,17.0,0.0,0.0,0.16,0.375,0.0,2001-02
84,Latrell Sprewell,1610612752,NYK,31.0,6-5,77.0,195,Alabama,USA,1992,1,24,81,19.4,3.7,3.9,-3.9,0.018,0.073,0.246,0.501,0.171,2001-02
2068,Lavor Postell,1610612752,NYK,24.0,6-5,77.0,215,St. John's (NY),USA,2000,2,39,23,4.0,0.7,0.2,5.5,0.011,0.077,0.285,0.456,0.062,2001-02
1444,Lawrence Funderburke,1610612758,SAC,31.0,6-9,81.0,230,Ohio State,USA,1994,2,51,56,4.7,3.5,0.6,3.8,0.1,0.159,0.177,0.49,0.069,2001-02
1924,Lee Nailon,1610612766,CHH,27.0,6-9,81.0,238,TCU,USA,1999,2,43,79,10.8,3.7,1.2,-0.6,0.054,0.1,0.214,0.513,0.089,2001-02
1910,Leon Smith,1610612737,ATL,21.0,6-10,82.0,235,None,USA,1999,1,29,14,2.2,2.2,0.2,2.9,0.099,0.231,0.154,0.463,0.046,2001-02
283,Lindsey Hunter,1610612747,LAL,31.0,6-2,74.0,195,Jackson State,USA,1993,1,10,82,5.8,1.5,1.6,3.9,0.011,0.061,0.155,0.466,0.119,2001-02
2254,Loren Woods,1610612750,MIN,24.0,7-1,85.0,246,Arizona,USA,2001,2,45,60,1.8,2.0,0.4,-3.7,0.084,0.147,0.134,0.449,0.063,2001-02
953,Lorenzen Wright,1610612763,MEM,26.0,6-11,83.0,240,Memphis,USA,1996,1,7,43,12.0,9.4,1.0,-6.4,0.1,0.232,0.217,0.478,0.063,2001-02
446,Lucious Harris,1610612751,NJN,31.0,6-5,77.0,205,Long Beach State,USA,1993,2,28,74,9.1,2.8,1.6,2.7,0.032,0.101,0.192,0.556,0.136,2001-02
2124,Malik Allen,1610612748,MIA,24.0,6-10,82.0,255,Villanova,USA,Undrafted,Undrafted,Undrafted,12,4.3,3.2,0.4,-2.3,0.089,0.134,0.161,0.469,0.054,2001-02
990,Malik Rose,1610612759,SAS,27.0,6-7,79.0,255,Drexel,USA,1996,2,44,82,9.4,6.0,0.7,8.2,0.105,0.176,0.234,0.517,0.064,2001-02
2055,Mamadou N'diaye,1610612761,TOR,27.0,7-0,84.0,255,Auburn,Senegal,2000,1,26,5,4.0,2.2,0.0,-8.6,0.1,0.104,0.144,0.694,0.0,2001-02
1531,Marc Jackson,1610612750,MIN,27.0,6-10,82.0,270,Temple,USA,1997,2,37,39,4.8,3.3,0.4,-2.5,0.093,0.16,0.2,0.467,0.05,2001-02
948,Marcus Camby,1610612752,NYK,28.0,6-11,83.0,235,Massachusetts,USA,1996,1,2,29,11.1,11.1,1.1,-4.3,0.092,0.238,0.171,0.483,0.055,2001-02
2033,Marcus Fizer,1610612741,CHI,23.0,6-9,81.0,262,Iowa State,USA,2000,1,4,76,12.3,5.6,1.6,-8.0,0.066,0.162,0.257,0.482,0.116,2001-02
1548,Mark Blount,1610612738,BOS,26.0,7-0,84.0,250,Pittsburgh,USA,1997,2,54,44,2.1,1.9,0.2,-5.4,0.059,0.148,0.122,0.509,0.039,2001-02
95,Mark Bryant,1610612759,SAS,37.0,6-9,81.0,250,Seton Hall,USA,1988,1,21,30,1.9,1.5,0.3,-4.7,0.116,0.09,0.139,0.478,0.078,2001-02
349,Mark Jackson,1610612752,NYK,37.0,6-3,75.0,195,St. John's (NY),USA,1987,1,18,82,8.4,3.8,7.4,-6.2,0.024,0.111,0.153,0.536,0.405,2001-02
2058,Mark Madsen,1610612747,LAL,26.0,6-9,81.0,236,Stanford,USA,2000,1,29,59,2.8,2.7,0.7,5.0,0.124,0.119,0.124,0.492,0.096,2001-02
998,Mark Pope,1610612749,MIL,29.0,6-10,82.0,235,Kentucky,USA,1996,2,52,45,1.9,1.6,0.4,-5.1,0.048,0.121,0.123,0.434,0.06,2001-02
1110,Mark Strickland,1610612737,ATL,31.0,6-10,82.0,220,Temple,USA,Undrafted,Undrafted,Undrafted,46,4.5,2.8,0.4,-6.3,0.06,0.148,0.167,0.466,0.051,2001-02
2043,Mateen Cleaves,1610612758,SAC,24.0,6-2,74.0,205,Michigan State,USA,2000,1,14,32,2.2,0.3,0.8,-13.0,0.006,0.038,0.243,0.486,0.253,2001-02
672,Matt Bullard,1610612766,CHH,35.0,,, ,Iowa,USA,Undrafted,Undrafted,Undrafted,31,3.4,1.5,0.5,-6.0,0.026,0.102,0.166,0.436,0.077,2001-02
761,Matt Geiger,1610612755,PHI,32.0,,, ,Georgia Tech,USA,1992,2,42,4,0.8,1.5,0.0,-38.3,0.075,0.086,0.145,0.169,0.0,2001-02
1723,Matt Harpring,1610612755,PHI,26.0,6-7,79.0,231,Georgia Tech,USA,1998,1,15,81,11.8,7.1,1.3,4.3,0.082,0.147,0.188,0.512,0.073,2001-02
2230,Maurice Evans,1610612750,MIN,23.0,6-5,77.0,220,Texas,USA,Undrafted,Undrafted,Undrafted,10,2.1,0.4,0.4,-4.0,0.052,0.023,0.183,0.506,0.154,2001-02
2370,Mengke Bateer,1610612743,DEN,26.0,6-11,83.0,290,None,China,Undrafted,Undrafted,Undrafted,27,5.1,3.6,0.8,-5.1,0.076,0.172,0.193,0.469,0.096,2001-02
1897,Metta World Peace,1610612754,IND,22.0,6-7,79.0,246,St. John's (NY),USA,1999,1,16,55,13.2,4.9,2.3,0.2,0.044,0.123,0.23,0.501,0.142,2001-02
2214,Michael Bradley,1610612761,TOR,23.0,6-9,81.0,227,Villanova,USA,2001,1,17,26,1.2,0.9,0.1,-19.5,0.061,0.147,0.126,0.526,0.042,2001-02
688,Michael Curry,1610612765,DET,33.0,6-5,77.0,210,Georgia Southern,USA,Undrafted,Undrafted,Undrafted,82,4.0,2.0,1.5,-0.9,0.008,0.085,0.093,0.521,0.104,2001-02
1722,Michael Dickerson,1610612763,MEM,27.0,6-5,77.0,190,Arizona,USA,1998,1,14,4,10.8,3.0,2.3,-3.4,0.021,0.083,0.194,0.425,0.113,2001-02
1720,Michael Doleac,1610612739,CLE,25.0,6-11,83.0,262,Utah,USA,1998,1,12,42,4.6,4.0,0.6,-7.9,0.069,0.181,0.157,0.468,0.056,2001-02
714,Michael Finley,1610612742,DAL,29.0,6-7,79.0,215,Wisconsin,USA,1995,1,21,69,20.6,5.2,3.3,4.0,0.033,0.099,0.236,0.532,0.138,2001-02
893,Michael Jordan,1610612764,WAS,39.0,6-6,78.0,216,North Carolina,USA,1984,1,3,60,22.9,5.7,5.2,-0.3,0.024,0.145,0.356,0.468,0.295,2001-02
1709,Michael Olowokandi,1610612746,LAC,27.0,7-0,84.0,270,Pacific,Nigeria,1998,1,1,80,11.1,8.9,1.1,-1.7,0.065,0.214,0.201,0.457,0.059,2001-02
2072,Michael Redd,1610612749,MIL,22.0,6-6,78.0,220,Ohio State,USA,2000,2,43,67,11.4,3.3,1.4,1.3,0.056,0.102,0.228,0.581,0.116,2001-02
1913,Michael Ruffin,1610612755,PHI,25.0,6-8,80.0,248,Tulsa,USA,1999,2,32,15,1.1,3.4,0.3,-11.4,0.128,0.162,0.105,0.271,0.048,2001-02
1565,Michael Stewart,1610612761,TOR,27.0,6-10,82.0,230,California,USA,Undrafted,Undrafted,Undrafted,11,2.0,2.3,0.3,1.2,0.125,0.159,0.158,0.395,0.068,2001-02
1710,Mike Bibby,1610612758,SAC,24.0,6-1,73.0,190,Arizona,USA,1998,1,2,80,13.7,2.8,5.0,7.7,0.014,0.064,0.195,0.513,0.227,2001-02
2229,Mike James,1610612748,MIA,27.0,6-2,74.0,190,Duquesne,USA,Undrafted,Undrafted,Undrafted,15,2.8,0.9,1.3,-15.5,0.016,0.12,0.228,0.456,0.306,2001-02
2034,Mike Miller,1610612753,ORL,22.0,6-8,80.0,218,Florida,USA,2000,1,5,63,15.2,4.3,3.1,3.8,0.023,0.104,0.207,0.542,0.149,2001-02
2130,Mike Penberthy,1610612747,LAL,27.0,6-3,75.0,180,The Master's College,USA,Undrafted,Undrafted,Undrafted,3,1.7,0.7,0.7,-4.0,0.0,0.0,0.133,0.665,0.25,2001-02
1630,Mikki Moore,1610612765,DET,26.0,7-0,84.0,230,Nebraska,USA,Undrafted,Undrafted,Undrafted,30,2.6,1.7,0.4,2.8,0.114,0.151,0.178,0.545,0.087,2001-02
1960,Milt Palacio,1610612756,PHX,24.0,6-3,75.0,195,Colorado State,Belize,Undrafted,Undrafted,Undrafted,69,3.3,1.1,1.2,-5.6,0.014,0.082,0.165,0.468,0.189,2001-02
782,Mitch Richmond,1610612747,LAL,37.0,6-5,77.0,220,Kansas State,USA,1988,1,5,64,4.1,1.5,0.9,8.6,0.019,0.099,0.187,0.488,0.131,2001-02
348,Mitchell Butler,1610612757,POR,31.0,6-5,77.0,216,UCLA,USA,Undrafted,Undrafted,Undrafted,11,2.6,1.3,0.5,-12.9,0.069,0.094,0.165,0.513,0.098,2001-02
42,Monty Williams,1610612753,ORL,30.0,6-8,80.0,225,Notre Dame,USA,1994,1,24,68,7.1,3.5,1.4,-3.7,0.063,0.122,0.173,0.575,0.126,2001-02
983,Moochie Norris,1610612745,HOU,28.0,6-1,73.0,175,West Florida,USA,1996,2,33,82,8.1,3.0,4.9,-4.7,0.032,0.08,0.176,0.471,0.302,2001-02
302,Mookie Blaylock,1610612744,GSW,35.0,,, ,Oklahoma,USA,1989,1,12,35,3.4,1.5,3.3,-6.8,0.013,0.076,0.135,0.398,0.33,2001-02
2050,Morris Peterson,1610612761,TOR,24.0,6-7,79.0,218,Michigan State,USA,2000,1,21,63,14.0,3.5,2.4,0.0,0.044,0.069,0.207,0.524,0.131,2001-02
1737,Nazr Mohammed,1610612737,ATL,24.0,6-10,82.0,250,Kentucky,USA,1998,1,29,82,9.7,7.9,0.4,-6.8,0.114,0.194,0.192,0.49,0.026,2001-02
98,Nick Anderson,1610612763,MEM,34.0,,, ,Illinois,USA,1989,1,11,15,4.0,2.2,0.9,-13.3,0.004,0.152,0.192,0.375,0.127,2001-02
89,Nick Van Exel,1610612742,DAL,30.0,6-1,73.0,195,Cincinnati,USA,1993,2,37,72,18.4,3.5,6.6,-2.8,0.011,0.091,0.264,0.495,0.339,2001-02
2369,Norman Richardson,1610612741,CHI,24.0,6-5,77.0,200,Hofstra,USA,Undrafted,Undrafted,Undrafted,11,2.7,0.7,0.2,-18.2,0.0,0.069,0.214,0.501,0.057,2001-02
1918,Obinna Ekezie,1610612746,LAC,26.0,6-9,81.0,270,Maryland,Nigeria,1999,2,37,29,1.9,1.2,0.1,4.1,0.076,0.139,0.201,0.477,0.032,2001-02
2071,Olumide Oyedeji,1610612760,SEA,21.0,6-10,82.0,255,None,Nigeria,2000,2,42,36,1.5,2.2,0.1,3.5,0.121,0.219,0.125,0.562,0.026,2001-02
2351,Oscar Torres,1610612745,HOU,25.0,6-6,78.0,210,None,Venezuela,Undrafted,Undrafted,Undrafted,65,6.0,1.9,0.6,-8.4,0.041,0.073,0.182,0.502,0.065,2001-02
970,Othella Harrington,1610612752,NYK,28.0,6-9,81.0,235,Georgetown,USA,1996,2,30,77,7.7,4.5,0.5,3.3,0.086,0.143,0.185,0.567,0.042,2001-02
136,P.J. Brown,1610612766,CHH,32.0,6-11,83.0,239,Louisiana Tech,USA,1992,2,29,80,8.4,9.8,1.3,2.8,0.107,0.203,0.121,0.545,0.064,2001-02
1727,Pat Garrity,1610612753,ORL,25.0,6-9,81.0,238,Notre Dame,USA,1998,1,19,80,11.1,4.2,1.2,4.3,0.033,0.111,0.161,0.553,0.063,2001-02
121,Patrick Ewing,1610612753,ORL,39.0,7-0,84.0,255,Georgetown,Jamaica,1985,1,1,65,6.0,4.0,0.5,-1.9,0.064,0.223,0.223,0.497,0.066,2001-02
2200,Pau Gasol,1610612763,MEM,21.0,7-0,84.0,227,None,Spain,2001,1,3,82,17.6,8.9,2.7,-5.3,0.08,0.164,0.223,0.566,0.133,2001-02
1718,Paul Pierce,1610612738,BOS,24.0,6-6,78.0,230,Kansas,USA,1998,1,10,82,26.1,6.9,3.2,4.6,0.024,0.147,0.289,0.57,0.153,2001-02
978,Peja Stojakovic,1610612758,SAC,25.0,6-9,81.0,229,None,Serbia,1996,1,14,71,21.2,5.3,2.5,7.6,0.027,0.107,0.232,0.592,0.106,2001-02
461,Popeye Jones,1610612764,WAS,32.0,6-8,80.0,250,Murray State,USA,1992,2,41,79,7.0,7.3,1.6,1.8,0.12,0.189,0.154,0.49,0.103,2001-02
1542,Predrag Drobnjak,1610612760,SEA,26.0,6-11,83.0,272,None,Serbia,1997,2,48,64,6.8,3.4,0.8,3.8,0.069,0.128,0.195,0.49,0.069,2001-02
2056,Primoz Brezec,1610612754,IND,22.0,7-1,85.0,243,None,Slovenia,2000,1,27,22,2.0,1.3,0.3,-2.3,0.09,0.073,0.126,0.538,0.065,2001-02
2047,Quentin Richardson,1610612746,LAC,22.0,6-6,78.0,223,DePaul,USA,2000,1,18,81,13.3,4.1,1.6,1.8,0.052,0.101,0.228,0.534,0.105,2001-02
1900,Quincy Lewis,1610612762,UTA,25.0,6-7,79.0,215,Minnesota,USA,1999,1,19,36,4.0,1.2,1.0,-1.6,0.023,0.068,0.167,0.474,0.12,2001-02
1711,Raef LaFrentz,1610612742,DAL,26.0,6-11,83.0,245,Kansas,USA,1998,1,3,78,13.5,7.4,1.1,-1.0,0.069,0.165,0.197,0.533,0.059,2001-02
1747,Rafer Alston,1610612749,MIL,25.0,6-2,74.0,171,Fresno State,USA,1998,2,39,50,3.5,1.4,2.9,-5.2,0.017,0.103,0.191,0.434,0.41,2001-02
